purpose,r_max,winner,utility,linkage,n_feasible,feasible_conditions
analytics_composite,0.35,sem_coarse,0.7094395280235988,0.3095413925127006,1,sem_coarse
analytics_composite,0.4,sem_coarse,0.7094395280235988,0.3095413925127006,2,redact_bracket;sem_coarse
analytics_composite,0.45,sem_coarse,0.7094395280235988,0.3095413925127006,3,redact_bracket;redact_surrogate;sem_coarse
analytics_composite,0.5,sem_medium,0.9977491720168491,0.4866875410037193,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_composite,0.55,sem_medium,0.9977491720168491,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.6,sem_medium,0.9977491720168491,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.65,sem_medium,0.9977491720168491,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.7,sem_medium,0.9977491720168491,0.4866875410037193,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.75,sem_medium,0.9977491720168491,0.4866875410037193,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.35,sem_coarse,0.22830687830687835,0.3095413925127006,1,sem_coarse
analytics_cohort,0.4,redact_bracket,0.3888888888888889,0.3568462879823953,2,redact_bracket;sem_coarse
analytics_cohort,0.45,redact_bracket,0.3888888888888889,0.3568462879823953,3,redact_bracket;redact_surrogate;sem_coarse
analytics_cohort,0.5,raw,0.3888888888888889,0.48328840191566264,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_cohort,0.55,raw,0.3888888888888889,0.48328840191566264,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.6,raw,0.3888888888888889,0.48328840191566264,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.65,raw,0.3888888888888889,0.48328840191566264,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.7,raw,0.3888888888888889,0.48328840191566264,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.75,raw,0.3888888888888889,0.48328840191566264,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
